pincode,searchTerm,service,id,name,price,originalPrice,savings,quantity,deliveryTime,discount,imageUrl,available
560024,onions 1kg,blinkit,530158,Onion (Eerulli),₹29,₹38,₹9,1 kg,earliest,23% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/f53c1ea1-cfa0-438b-a14c-b4f5ebeed7dd.png,true
560024,tomato 1kg,blinkit,487714,Hybrid Tomato 500 g - Pack of 2,₹42,₹70,₹28,2 x 500 g,earliest,40% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/cdce8f1f-ff2d-43e6-a441-c8aa62a99f74.png,true
560024,tomato 1kg,blinkit,540020,Desi Tomato - Pack of 2,₹42,₹70,₹28,2 x 500 g,earliest,40% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/496afeb9-a190-4090-bda1-9e70e7277467.png,true
560024,tomato 1kg,blinkit,59656,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,₹153,₹178,₹25,1 kg,earliest,14% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/5679662b-1fee-4818-871f-d3e8cdb876a2.png,true
560024,tomato 1kg,blinkit,91039,Maggi Rich Tomato Ketchup 960 g,₹144,₹159,₹15,960 g,earliest,9% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/449f69e9-8839-440f-b9ff-6e4c15453620.png,true
560024,tomato 1kg,blinkit,699936,Chokhi Dhani Tomato Ketchup,₹99,₹150,₹51,950 g,earliest,34% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/8f904576-b5ea-48b3-8299-fdb4df53cc4d.png,true
560024,tomato 1kg,blinkit,476046,Kissan Fresh Tomato Ketchup,₹117,₹140,₹23,1.1 kg,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/d2adacad-53ad-4e61-b90e-8de1177caf82.png,true
560024,potato 1kg,blinkit,354997,Potato (Alugadde),₹29,₹34,₹5,1 kg,earliest,14% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/47aacb59-7ce0-438a-9c8d-208e6901fef4.png,true
560024,potato 1kg,blinkit,599226,Organically Grown Potato (Alugadde),₹70,₹84,₹14,1 kg,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/a5a8eed9-63b3-4d8a-abd7-2be2b9a55781.png,true
575006,onions 1kg,blinkit,530158,Onion (Eerulli),₹29,₹38,₹9,1 kg,earliest,23% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/f53c1ea1-cfa0-438b-a14c-b4f5ebeed7dd.png,true
575006,tomato 1kg,blinkit,487714,Hybrid Tomato 500 g - Pack of 2,₹42,₹70,₹28,2 x 500 g,earliest,40% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/cdce8f1f-ff2d-43e6-a441-c8aa62a99f74.png,true
575006,tomato 1kg,blinkit,540020,Desi Tomato - Pack of 2,₹42,₹70,₹28,2 x 500 g,earliest,40% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/496afeb9-a190-4090-bda1-9e70e7277467.png,true
575006,tomato 1kg,blinkit,59656,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,₹153,₹178,₹25,1 kg,earliest,14% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/5679662b-1fee-4818-871f-d3e8cdb876a2.png,true
575006,tomato 1kg,blinkit,91039,Maggi Rich Tomato Ketchup 960 g,₹144,₹159,₹15,960 g,earliest,9% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/449f69e9-8839-440f-b9ff-6e4c15453620.png,true
575006,tomato 1kg,blinkit,699936,Chokhi Dhani Tomato Ketchup,₹99,₹150,₹51,950 g,earliest,34% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/8f904576-b5ea-48b3-8299-fdb4df53cc4d.png,true
575006,tomato 1kg,blinkit,476046,Kissan Fresh Tomato Ketchup,₹117,₹140,₹23,1.1 kg,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/d2adacad-53ad-4e61-b90e-8de1177caf82.png,true
575006,potato 1kg,blinkit,354997,Potato (Alugadde),₹29,₹34,₹5,1 kg,earliest,14% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/47aacb59-7ce0-438a-9c8d-208e6901fef4.png,true
575006,potato 1kg,blinkit,599226,Organically Grown Potato (Alugadde),₹70,₹84,₹14,1 kg,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/a5a8eed9-63b3-4d8a-abd7-2be2b9a55781.png,true
